=> Saving data in Logs/FRL~try=505
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 0 | malicious users: 2 | test acc 0.0974 test loss 2.296544 best test_acc 0.0974
e 14 | malicious users: 1 | test acc 0.1898 test loss 1.946478 best test_acc 0.5663
e 15 | malicious users: 6 | test acc 0.2867 test loss 1.826037 best test_acc 0.5663
e 16 | malicious users: 5 | test acc 0.5233 test loss 1.834587 best test_acc 0.5663
e 17 | malicious users: 4 | test acc 0.4363 test loss 1.837388 best test_acc 0.5663
e 18 | malicious users: 7 | test acc 0.5231 test loss 1.730672 best test_acc 0.5663
e 19 | malicious users: 3 | test acc 0.4362 test loss 1.841099 best test_acc 0.5663
e 20 | malicious users: 6 | test acc 0.5940 test loss 1.756346 best test_acc 0.5940
e 21 | malicious users: 6 | test acc 0.2593 test loss 1.886681 best test_acc 0.5940
e 22 | malicious users: 3 | test acc 0.4270 test loss 1.770507 best test_acc 0.5940
e 23 | malicious users: 7 | test acc 0.5252 test loss 1.730353 best test_acc 0.5940
e 24 | malicious users: 9 | test acc 0.5429 test loss 1.904728 best test_acc 0.5940
e 25 | malicious users: 9 | test acc 0.4873 test loss 2.009306 best test_acc 0.5940
e 26 | malicious users: 5 | test acc 0.2783 test loss 1.832523 best test_acc 0.5940
e 27 | malicious users: 4 | test acc 0.2051 test loss 1.894299 best test_acc 0.5940
e 28 | malicious users: 6 | test acc 0.4335 test loss 1.775643 best test_acc 0.5940
e 29 | malicious users: 7 | test acc 0.4140 test loss 1.848303 best test_acc 0.5940
e 30 | malicious users: 3 | test acc 0.5673 test loss 1.840448 best test_acc 0.5940
e 31 | malicious users: 1 | test acc 0.6183 test loss 1.444644 best test_acc 0.6183
e 32 | malicious users: 7 | test acc 0.6199 test loss 1.585087 best test_acc 0.6199
e 33 | malicious users: 3 | test acc 0.5239 test loss 1.759612 best test_acc 0.6199
e 34 | malicious users: 7 | test acc 0.7140 test loss 1.749546 best test_acc 0.7140
e 35 | malicious users: 9 | test acc 0.6409 test loss 1.786500 best test_acc 0.7140
e 36 | malicious users: 1 | test acc 0.4800 test loss 1.668123 best test_acc 0.7140
e 37 | malicious users: 5 | test acc 0.6602 test loss 1.603121 best test_acc 0.7140
e 38 | malicious users: 6 | test acc 0.6486 test loss 1.678812 best test_acc 0.7140
e 39 | malicious users: 3 | test acc 0.6952 test loss 1.566566 best test_acc 0.7140
e 40 | malicious users: 8 | test acc 0.7224 test loss 1.803288 best test_acc 0.7224
e 41 | malicious users: 6 | test acc 0.2636 test loss 1.985834 best test_acc 0.7224
e 42 | malicious users: 2 | test acc 0.5778 test loss 1.688339 best test_acc 0.7224
e 43 | malicious users: 4 | test acc 0.6520 test loss 1.502220 best test_acc 0.7224
e 44 | malicious users: 7 | test acc 0.6928 test loss 1.760405 best test_acc 0.7224
e 45 | malicious users: 8 | test acc 0.6032 test loss 1.625741 best test_acc 0.7224
e 46 | malicious users: 5 | test acc 0.6411 test loss 1.900680 best test_acc 0.7224
e 47 | malicious users: 3 | test acc 0.7848 test loss 1.458081 best test_acc 0.7848
e 48 | malicious users: 4 | test acc 0.7335 test loss 1.543180 best test_acc 0.7848
e 49 | malicious users: 6 | test acc 0.7576 test loss 1.353213 best test_acc 0.7848
e 50 | malicious users: 2 | test acc 0.8408 test loss 1.337370 best test_acc 0.8408
e 51 | malicious users: 7 | test acc 0.7636 test loss 1.449657 best test_acc 0.8408
e 52 | malicious users: 6 | test acc 0.7343 test loss 1.619305 best test_acc 0.8408
e 53 | malicious users: 3 | test acc 0.7849 test loss 1.359789 best test_acc 0.8408
e 54 | malicious users: 4 | test acc 0.7616 test loss 1.321119 best test_acc 0.8408
e 55 | malicious users: 5 | test acc 0.5379 test loss 1.846705 best test_acc 0.8408
e 56 | malicious users: 3 | test acc 0.7700 test loss 1.531201 best test_acc 0.8408
e 57 | malicious users: 4 | test acc 0.6661 test loss 1.512658 best test_acc 0.8408
e 58 | malicious users: 3 | test acc 0.7588 test loss 1.330007 best test_acc 0.8408
e 59 | malicious users: 7 | test acc 0.7657 test loss 1.448388 best test_acc 0.8408
e 60 | malicious users: 3 | test acc 0.7287 test loss 1.494490 best test_acc 0.8408
e 61 | malicious users: 5 | test acc 0.8264 test loss 1.369574 best test_acc 0.8408
e 62 | malicious users: 7 | test acc 0.6272 test loss 1.600339 best test_acc 0.8408
e 63 | malicious users: 8 | test acc 0.6804 test loss 1.627170 best test_acc 0.8408
e 64 | malicious users: 5 | test acc 0.5819 test loss 1.534831 best test_acc 0.8408
e 65 | malicious users: 9 | test acc 0.6178 test loss 1.607712 best test_acc 0.8408
e 66 | malicious users: 4 | test acc 0.7709 test loss 1.586271 best test_acc 0.8408
e 67 | malicious users: 1 | test acc 0.6606 test loss 1.314094 best test_acc 0.8408
e 68 | malicious users: 3 | test acc 0.6697 test loss 1.580074 best test_acc 0.8408
e 69 | malicious users: 5 | test acc 0.6527 test loss 1.632190 best test_acc 0.8408
e 70 | malicious users: 6 | test acc 0.5729 test loss 1.495892 best test_acc 0.8408
e 71 | malicious users: 7 | test acc 0.6603 test loss 1.606393 best test_acc 0.8408
e 72 | malicious users: 5 | test acc 0.6727 test loss 1.594674 best test_acc 0.8408
e 73 | malicious users: 5 | test acc 0.7428 test loss 1.412999 best test_acc 0.8408
e 74 | malicious users: 5 | test acc 0.7098 test loss 1.387410 best test_acc 0.8408
e 75 | malicious users: 5 | test acc 0.7023 test loss 1.438843 best test_acc 0.8408
e 76 | malicious users: 6 | test acc 0.7453 test loss 1.517366 best test_acc 0.8408
e 77 | malicious users: 6 | test acc 0.6833 test loss 1.615931 best test_acc 0.8408
e 78 | malicious users: 7 | test acc 0.7246 test loss 1.572778 best test_acc 0.8408
e 79 | malicious users: 3 | test acc 0.7065 test loss 1.250474 best test_acc 0.8408
e 80 | malicious users: 1 | test acc 0.7857 test loss 1.144954 best test_acc 0.8408
e 81 | malicious users: 4 | test acc 0.7052 test loss 1.101733 best test_acc 0.8408
e 82 | malicious users: 3 | test acc 0.7248 test loss 1.213248 best test_acc 0.8408
e 83 | malicious users: 5 | test acc 0.6735 test loss 1.219357 best test_acc 0.8408
e 84 | malicious users: 4 | test acc 0.7641 test loss 1.286285 best test_acc 0.8408
e 85 | malicious users: 5 | test acc 0.7511 test loss 1.276814 best test_acc 0.8408
e 86 | malicious users: 6 | test acc 0.8116 test loss 1.279580 best test_acc 0.8408
e 87 | malicious users: 6 | test acc 0.8059 test loss 1.323942 best test_acc 0.8408
e 88 | malicious users: 2 | test acc 0.7879 test loss 1.053310 best test_acc 0.8408
e 89 | malicious users: 9 | test acc 0.7066 test loss 1.292243 best test_acc 0.8408
e 90 | malicious users: 5 | test acc 0.8102 test loss 1.242978 best test_acc 0.8408
e 91 | malicious users: 3 | test acc 0.7554 test loss 1.411154 best test_acc 0.8408
e 92 | malicious users: 4 | test acc 0.8607 test loss 1.184714 best test_acc 0.8607
e 93 | malicious users: 6 | test acc 0.7595 test loss 1.236997 best test_acc 0.8607
e 94 | malicious users: 7 | test acc 0.8083 test loss 1.340232 best test_acc 0.8607
e 95 | malicious users: 3 | test acc 0.8297 test loss 1.650792 best test_acc 0.8607
e 96 | malicious users: 6 | test acc 0.7806 test loss 1.379555 best test_acc 0.8607
e 97 | malicious users: 5 | test acc 0.7388 test loss 1.202100 best test_acc 0.8607
e 98 | malicious users: 7 | test acc 0.7508 test loss 1.372038 best test_acc 0.8607
e 99 | malicious users: 6 | test acc 0.8116 test loss 1.502787 best test_acc 0.8607
e 100 | malicious users: 2 | test acc 0.6961 test loss 1.174068 best test_acc 0.8607
e 101 | malicious users: 11 | test acc 0.6449 test loss 1.529390 best test_acc 0.8607
e 102 | malicious users: 6 | test acc 0.5581 test loss 1.484940 best test_acc 0.8607
e 103 | malicious users: 3 | test acc 0.7657 test loss 1.267769 best test_acc 0.8607
e 104 | malicious users: 5 | test acc 0.6851 test loss 1.315103 best test_acc 0.8607
e 105 | malicious users: 2 | test acc 0.7799 test loss 1.306684 best test_acc 0.8607
e 106 | malicious users: 2 | test acc 0.8400 test loss 0.935334 best test_acc 0.8607
e 107 | malicious users: 5 | test acc 0.7926 test loss 1.258431 best test_acc 0.8607
e 108 | malicious users: 2 | test acc 0.7959 test loss 1.246394 best test_acc 0.8607
e 109 | malicious users: 4 | test acc 0.8182 test loss 1.331317 best test_acc 0.8607
e 110 | malicious users: 6 | test acc 0.7413 test loss 1.278126 best test_acc 0.8607
e 111 | malicious users: 4 | test acc 0.6380 test loss 1.404955 best test_acc 0.8607
e 112 | malicious users: 4 | test acc 0.8144 test loss 1.125393 best test_acc 0.8607
e 113 | malicious users: 3 | test acc 0.8538 test loss 1.145292 best test_acc 0.8607
e 114 | malicious users: 3 | test acc 0.8598 test loss 1.037130 best test_acc 0.8607
e 115 | malicious users: 5 | test acc 0.7892 test loss 1.208494 best test_acc 0.8607
e 116 | malicious users: 6 | test acc 0.7639 test loss 1.092640 best test_acc 0.8607
e 117 | malicious users: 5 | test acc 0.8016 test loss 1.138911 best test_acc 0.8607
e 118 | malicious users: 3 | test acc 0.7953 test loss 1.203528 best test_acc 0.8607
e 119 | malicious users: 4 | test acc 0.7592 test loss 1.365130 best test_acc 0.8607
e 120 | malicious users: 4 | test acc 0.7162 test loss 1.349647 best test_acc 0.8607
e 121 | malicious users: 1 | test acc 0.8417 test loss 1.143199 best test_acc 0.8607
e 122 | malicious users: 6 | test acc 0.7604 test loss 1.251964 best test_acc 0.8607
e 123 | malicious users: 4 | test acc 0.7217 test loss 1.217023 best test_acc 0.8607
e 124 | malicious users: 4 | test acc 0.7657 test loss 1.169035 best test_acc 0.8607
e 125 | malicious users: 3 | test acc 0.8483 test loss 1.077401 best test_acc 0.8607
e 126 | malicious users: 1 | test acc 0.7482 test loss 1.229635 best test_acc 0.8607
e 127 | malicious users: 6 | test acc 0.7743 test loss 1.338848 best test_acc 0.8607
e 128 | malicious users: 5 | test acc 0.8671 test loss 1.133833 best test_acc 0.8671
e 129 | malicious users: 4 | test acc 0.7398 test loss 1.059914 best test_acc 0.8671
e 130 | malicious users: 5 | test acc 0.8574 test loss 1.081012 best test_acc 0.8671
e 131 | malicious users: 2 | test acc 0.8523 test loss 1.193748 best test_acc 0.8671
e 132 | malicious users: 6 | test acc 0.7927 test loss 1.220174 best test_acc 0.8671
e 133 | malicious users: 7 | test acc 0.7421 test loss 1.326676 best test_acc 0.8671
e 134 | malicious users: 5 | test acc 0.7538 test loss 1.362595 best test_acc 0.8671
e 135 | malicious users: 2 | test acc 0.8709 test loss 1.043167 best test_acc 0.8709
e 136 | malicious users: 8 | test acc 0.7584 test loss 1.305247 best test_acc 0.8709
e 137 | malicious users: 2 | test acc 0.8623 test loss 1.009200 best test_acc 0.8709
e 138 | malicious users: 11 | test acc 0.7513 test loss 1.625276 best test_acc 0.8709
e 139 | malicious users: 5 | test acc 0.7645 test loss 1.154300 best test_acc 0.8709
e 140 | malicious users: 5 | test acc 0.7420 test loss 1.072170 best test_acc 0.8709
e 141 | malicious users: 2 | test acc 0.7770 test loss 1.343986 best test_acc 0.8709
e 142 | malicious users: 6 | test acc 0.8023 test loss 1.236971 best test_acc 0.8709
e 143 | malicious users: 5 | test acc 0.8286 test loss 1.332355 best test_acc 0.8709
e 144 | malicious users: 6 | test acc 0.7580 test loss 1.460663 best test_acc 0.8709
e 145 | malicious users: 4 | test acc 0.7432 test loss 1.164854 best test_acc 0.8709
e 146 | malicious users: 4 | test acc 0.7376 test loss 1.022835 best test_acc 0.8709
e 147 | malicious users: 4 | test acc 0.7898 test loss 1.090349 best test_acc 0.8709
e 148 | malicious users: 5 | test acc 0.7310 test loss 1.354887 best test_acc 0.8709
e 149 | malicious users: 1 | test acc 0.8753 test loss 1.179264 best test_acc 0.8753
e 150 | malicious users: 6 | test acc 0.8733 test loss 1.534007 best test_acc 0.8753
e 151 | malicious users: 6 | test acc 0.8221 test loss 1.377282 best test_acc 0.8753
e 152 | malicious users: 7 | test acc 0.7523 test loss 1.206550 best test_acc 0.8753
e 153 | malicious users: 3 | test acc 0.8228 test loss 1.162927 best test_acc 0.8753
e 154 | malicious users: 2 | test acc 0.8682 test loss 0.931022 best test_acc 0.8753
e 155 | malicious users: 8 | test acc 0.7482 test loss 1.184648 best test_acc 0.8753
e 156 | malicious users: 3 | test acc 0.7221 test loss 1.307242 best test_acc 0.8753
e 157 | malicious users: 2 | test acc 0.8273 test loss 1.318288 best test_acc 0.8753
e 158 | malicious users: 3 | test acc 0.7807 test loss 1.230893 best test_acc 0.8753
e 159 | malicious users: 6 | test acc 0.8046 test loss 1.349105 best test_acc 0.8753
e 160 | malicious users: 5 | test acc 0.7810 test loss 1.228749 best test_acc 0.8753
e 161 | malicious users: 2 | test acc 0.8794 test loss 1.137592 best test_acc 0.8794
e 162 | malicious users: 5 | test acc 0.8355 test loss 1.347525 best test_acc 0.8794
e 163 | malicious users: 5 | test acc 0.8061 test loss 1.152473 best test_acc 0.8794
e 164 | malicious users: 5 | test acc 0.8531 test loss 1.096708 best test_acc 0.8794
e 165 | malicious users: 4 | test acc 0.8414 test loss 1.286855 best test_acc 0.8794
e 166 | malicious users: 7 | test acc 0.8649 test loss 1.132609 best test_acc 0.8794
e 167 | malicious users: 6 | test acc 0.8605 test loss 1.514469 best test_acc 0.8794
e 168 | malicious users: 8 | test acc 0.7291 test loss 1.335123 best test_acc 0.8794
e 169 | malicious users: 6 | test acc 0.7617 test loss 1.327483 best test_acc 0.8794
e 170 | malicious users: 2 | test acc 0.7584 test loss 1.344436 best test_acc 0.8794
e 171 | malicious users: 4 | test acc 0.7601 test loss 1.244645 best test_acc 0.8794
e 172 | malicious users: 8 | test acc 0.6687 test loss 1.469797 best test_acc 0.8794
e 173 | malicious users: 8 | test acc 0.8286 test loss 1.299932 best test_acc 0.8794
e 174 | malicious users: 5 | test acc 0.8165 test loss 1.158802 best test_acc 0.8794
e 175 | malicious users: 7 | test acc 0.7592 test loss 1.561156 best test_acc 0.8794
e 176 | malicious users: 5 | test acc 0.8471 test loss 1.385064 best test_acc 0.8794
e 177 | malicious users: 6 | test acc 0.6657 test loss 1.378658 best test_acc 0.8794
e 178 | malicious users: 5 | test acc 0.8484 test loss 1.218228 best test_acc 0.8794
e 179 | malicious users: 10 | test acc 0.7166 test loss 1.485090 best test_acc 0.8794
e 180 | malicious users: 6 | test acc 0.7193 test loss 1.421412 best test_acc 0.8794
e 181 | malicious users: 4 | test acc 0.8301 test loss 1.104596 best test_acc 0.8794
e 182 | malicious users: 3 | test acc 0.7702 test loss 1.244626 best test_acc 0.8794
e 183 | malicious users: 3 | test acc 0.7494 test loss 1.074598 best test_acc 0.8794
e 184 | malicious users: 7 | test acc 0.7155 test loss 1.218451 best test_acc 0.8794
e 185 | malicious users: 5 | test acc 0.8059 test loss 1.162188 best test_acc 0.8794
e 186 | malicious users: 3 | test acc 0.8524 test loss 1.059932 best test_acc 0.8794
e 187 | malicious users: 5 | test acc 0.8034 test loss 1.315012 best test_acc 0.8794
e 188 | malicious users: 5 | test acc 0.7549 test loss 1.315232 best test_acc 0.8794
e 189 | malicious users: 10 | test acc 0.7673 test loss 1.687126 best test_acc 0.8794
e 190 | malicious users: 3 | test acc 0.6969 test loss 1.287958 best test_acc 0.8794
e 191 | malicious users: 6 | test acc 0.7133 test loss 1.268013 best test_acc 0.8794
e 192 | malicious users: 5 | test acc 0.8200 test loss 1.197366 best test_acc 0.8794
e 193 | malicious users: 5 | test acc 0.7628 test loss 1.098676 best test_acc 0.8794
e 194 | malicious users: 6 | test acc 0.6559 test loss 1.279671 best test_acc 0.8794
e 195 | malicious users: 7 | test acc 0.7480 test loss 1.182708 best test_acc 0.8794
e 196 | malicious users: 5 | test acc 0.6619 test loss 1.211258 best test_acc 0.8794
e 197 | malicious users: 8 | test acc 0.8014 test loss 1.242619 best test_acc 0.8794
e 198 | malicious users: 8 | test acc 0.7337 test loss 1.466968 best test_acc 0.8794
e 199 | malicious users: 5 | test acc 0.7385 test loss 1.395654 best test_acc 0.8794
e 200 | malicious users: 8 | test acc 0.7472 test loss 1.392441 best test_acc 0.8794
e 201 | malicious users: 5 | test acc 0.7391 test loss 1.373261 best test_acc 0.8794
e 202 | malicious users: 5 | test acc 0.7863 test loss 1.166153 best test_acc 0.8794
e 203 | malicious users: 6 | test acc 0.6350 test loss 1.258103 best test_acc 0.8794
e 204 | malicious users: 8 | test acc 0.7345 test loss 1.403365 best test_acc 0.8794
e 205 | malicious users: 5 | test acc 0.7679 test loss 1.241703 best test_acc 0.8794
e 206 | malicious users: 4 | test acc 0.7359 test loss 1.133361 best test_acc 0.8794
e 207 | malicious users: 5 | test acc 0.7426 test loss 1.198531 best test_acc 0.8794
e 208 | malicious users: 2 | test acc 0.5260 test loss 1.179685 best test_acc 0.8794
e 209 | malicious users: 4 | test acc 0.8274 test loss 1.338449 best test_acc 0.8794
e 210 | malicious users: 6 | test acc 0.8357 test loss 1.143512 best test_acc 0.8794
e 211 | malicious users: 2 | test acc 0.7867 test loss 1.163542 best test_acc 0.8794
e 212 | malicious users: 5 | test acc 0.8698 test loss 1.110338 best test_acc 0.8794
e 213 | malicious users: 7 | test acc 0.7969 test loss 1.269578 best test_acc 0.8794
e 214 | malicious users: 6 | test acc 0.7732 test loss 1.311934 best test_acc 0.8794
e 215 | malicious users: 5 | test acc 0.8054 test loss 1.265472 best test_acc 0.8794
e 216 | malicious users: 5 | test acc 0.7519 test loss 1.122849 best test_acc 0.8794
e 217 | malicious users: 5 | test acc 0.8648 test loss 0.995080 best test_acc 0.8794
e 218 | malicious users: 7 | test acc 0.8672 test loss 1.246381 best test_acc 0.8794
e 219 | malicious users: 6 | test acc 0.8002 test loss 1.022010 best test_acc 0.8794
e 220 | malicious users: 9 | test acc 0.7098 test loss 1.342493 best test_acc 0.8794
e 221 | malicious users: 6 | test acc 0.8172 test loss 1.191810 best test_acc 0.8794
e 222 | malicious users: 3 | test acc 0.7823 test loss 1.093013 best test_acc 0.8794
e 223 | malicious users: 3 | test acc 0.8320 test loss 1.127028 best test_acc 0.8794
e 224 | malicious users: 8 | test acc 0.8218 test loss 1.391166 best test_acc 0.8794
e 225 | malicious users: 4 | test acc 0.8801 test loss 1.238024 best test_acc 0.8801
e 226 | malicious users: 6 | test acc 0.8001 test loss 1.310794 best test_acc 0.8801
e 227 | malicious users: 6 | test acc 0.7695 test loss 1.173154 best test_acc 0.8801
e 228 | malicious users: 6 | test acc 0.6508 test loss 1.042923 best test_acc 0.8801
e 229 | malicious users: 4 | test acc 0.7823 test loss 1.225485 best test_acc 0.8801
e 230 | malicious users: 5 | test acc 0.7619 test loss 1.014158 best test_acc 0.8801
e 231 | malicious users: 3 | test acc 0.8409 test loss 0.996774 best test_acc 0.8801
e 232 | malicious users: 5 | test acc 0.7903 test loss 1.137329 best test_acc 0.8801
e 233 | malicious users: 4 | test acc 0.7665 test loss 1.216538 best test_acc 0.8801
e 234 | malicious users: 5 | test acc 0.8216 test loss 1.165131 best test_acc 0.8801
e 235 | malicious users: 3 | test acc 0.7469 test loss 1.300865 best test_acc 0.8801
e 236 | malicious users: 5 | test acc 0.8288 test loss 0.998591 best test_acc 0.8801
e 237 | malicious users: 6 | test acc 0.8614 test loss 1.044562 best test_acc 0.8801
e 238 | malicious users: 5 | test acc 0.6905 test loss 1.153143 best test_acc 0.8801
e 239 | malicious users: 3 | test acc 0.8095 test loss 1.145802 best test_acc 0.8801
e 240 | malicious users: 4 | test acc 0.8590 test loss 1.175671 best test_acc 0.8801
e 241 | malicious users: 7 | test acc 0.8545 test loss 1.272199 best test_acc 0.8801
e 242 | malicious users: 4 | test acc 0.8405 test loss 1.202747 best test_acc 0.8801
e 243 | malicious users: 3 | test acc 0.7491 test loss 0.858930 best test_acc 0.8801
e 244 | malicious users: 5 | test acc 0.7481 test loss 1.076395 best test_acc 0.8801
e 245 | malicious users: 3 | test acc 0.8581 test loss 0.875231 best test_acc 0.8801
e 246 | malicious users: 7 | test acc 0.8216 test loss 1.029093 best test_acc 0.8801
e 247 | malicious users: 6 | test acc 0.8578 test loss 1.240330 best test_acc 0.8801
e 248 | malicious users: 11 | test acc 0.6405 test loss 1.334906 best test_acc 0.8801
e 249 | malicious users: 2 | test acc 0.5934 test loss 1.161974 best test_acc 0.8801
e 250 | malicious users: 2 | test acc 0.8091 test loss 1.207047 best test_acc 0.8801
e 251 | malicious users: 5 | test acc 0.8297 test loss 1.192280 best test_acc 0.8801
e 252 | malicious users: 5 | test acc 0.8087 test loss 1.163126 best test_acc 0.8801
e 253 | malicious users: 3 | test acc 0.7726 test loss 1.044907 best test_acc 0.8801
e 254 | malicious users: 8 | test acc 0.7968 test loss 1.226502 best test_acc 0.8801
e 255 | malicious users: 4 | test acc 0.8164 test loss 1.152463 best test_acc 0.8801
e 256 | malicious users: 7 | test acc 0.7913 test loss 1.140384 best test_acc 0.8801
e 257 | malicious users: 4 | test acc 0.8155 test loss 1.121173 best test_acc 0.8801
e 258 | malicious users: 3 | test acc 0.8177 test loss 1.093889 best test_acc 0.8801
e 259 | malicious users: 4 | test acc 0.7307 test loss 1.046779 best test_acc 0.8801
e 260 | malicious users: 3 | test acc 0.8091 test loss 1.061104 best test_acc 0.8801
e 261 | malicious users: 6 | test acc 0.8513 test loss 1.061726 best test_acc 0.8801
e 262 | malicious users: 5 | test acc 0.8229 test loss 1.417807 best test_acc 0.8801
e 263 | malicious users: 6 | test acc 0.8028 test loss 1.216775 best test_acc 0.8801
e 264 | malicious users: 5 | test acc 0.8212 test loss 1.230394 best test_acc 0.8801
e 265 | malicious users: 5 | test acc 0.8313 test loss 1.033487 best test_acc 0.8801
e 266 | malicious users: 6 | test acc 0.7302 test loss 1.172849 best test_acc 0.8801
e 267 | malicious users: 7 | test acc 0.7459 test loss 1.172329 best test_acc 0.8801
e 268 | malicious users: 5 | test acc 0.8010 test loss 1.193786 best test_acc 0.8801
e 269 | malicious users: 7 | test acc 0.8424 test loss 1.424135 best test_acc 0.8801
e 270 | malicious users: 6 | test acc 0.7188 test loss 1.242987 best test_acc 0.8801
e 271 | malicious users: 2 | test acc 0.7124 test loss 1.179143 best test_acc 0.8801
e 272 | malicious users: 4 | test acc 0.7670 test loss 1.235294 best test_acc 0.8801
e 273 | malicious users: 6 | test acc 0.7103 test loss 1.096783 best test_acc 0.8801
e 274 | malicious users: 4 | test acc 0.8206 test loss 1.115454 best test_acc 0.8801
e 275 | malicious users: 5 | test acc 0.8678 test loss 1.018485 best test_acc 0.8801
e 276 | malicious users: 1 | test acc 0.8407 test loss 1.023279 best test_acc 0.8801
e 277 | malicious users: 6 | test acc 0.8609 test loss 1.045343 best test_acc 0.8801
e 278 | malicious users: 7 | test acc 0.8156 test loss 0.955813 best test_acc 0.8801
e 279 | malicious users: 9 | test acc 0.8583 test loss 1.281224 best test_acc 0.8801
e 280 | malicious users: 5 | test acc 0.7318 test loss 1.262773 best test_acc 0.8801
e 281 | malicious users: 11 | test acc 0.7029 test loss 1.551253 best test_acc 0.8801
e 282 | malicious users: 9 | test acc 0.7015 test loss 1.536272 best test_acc 0.8801
e 283 | malicious users: 6 | test acc 0.7795 test loss 1.482959 best test_acc 0.8801
e 284 | malicious users: 6 | test acc 0.8062 test loss 1.455257 best test_acc 0.8801
e 285 | malicious users: 4 | test acc 0.8088 test loss 1.347773 best test_acc 0.8801
e 286 | malicious users: 6 | test acc 0.6657 test loss 1.463616 best test_acc 0.8801
e 287 | malicious users: 5 | test acc 0.7145 test loss 1.318319 best test_acc 0.8801
e 288 | malicious users: 5 | test acc 0.7581 test loss 1.185800 best test_acc 0.8801
e 289 | malicious users: 5 | test acc 0.7016 test loss 1.369510 best test_acc 0.8801
e 290 | malicious users: 6 | test acc 0.7211 test loss 1.221744 best test_acc 0.8801
e 291 | malicious users: 6 | test acc 0.7875 test loss 1.378919 best test_acc 0.8801
e 292 | malicious users: 11 | test acc 0.7440 test loss 1.523372 best test_acc 0.8801
e 293 | malicious users: 3 | test acc 0.7853 test loss 1.104018 best test_acc 0.8801
e 294 | malicious users: 5 | test acc 0.7150 test loss 1.275882 best test_acc 0.8801
e 295 | malicious users: 5 | test acc 0.7272 test loss 1.047189 best test_acc 0.8801
e 296 | malicious users: 3 | test acc 0.8162 test loss 1.311788 best test_acc 0.8801
e 297 | malicious users: 4 | test acc 0.8578 test loss 1.278837 best test_acc 0.8801
e 298 | malicious users: 5 | test acc 0.6992 test loss 1.028239 best test_acc 0.8801
e 299 | malicious users: 6 | test acc 0.7440 test loss 1.193028 best test_acc 0.8801
e 300 | malicious users: 3 | test acc 0.8130 test loss 1.207467 best test_acc 0.8801
726.5921530723572
