=> Saving data in Logs/FRL~try=505
dataset to use is:  MNIST
number of FL clients:  1000
non-iid degree data distribution:  0.1
batch size is :  8
test batch size is:  128
10
84
87
98
127
143
179
234
398
400
414
427
473
512
524
534
558
574
582
671
734
767
820
823
876
881
889
921
958
use_cuda:  True
type of FL:  other_attacks
#########Federated Learning using Rankings############
fraction of maliciou clients: 0.20 | total number of malicious clients: 200
/home/test/anaconda3/envs/FRL_test/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:138: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
e 0 | malicious users: 2 | test acc 0.0974 test loss 2.296544 best test_acc 0.0974
e 1 | malicious users: 5 | test acc 0.1919 test loss 2.291376 best test_acc 0.1919
e 2 | malicious users: 3 | test acc 0.0980 test loss 2.263599 best test_acc 0.1919
e 3 | malicious users: 4 | test acc 0.1879 test loss 2.243319 best test_acc 0.1919
e 4 | malicious users: 5 | test acc 0.2377 test loss 2.204410 best test_acc 0.2377
e 5 | malicious users: 6 | test acc 0.3470 test loss 2.205933 best test_acc 0.3470
e 6 | malicious users: 4 | test acc 0.2123 test loss 2.179725 best test_acc 0.3470
e 7 | malicious users: 3 | test acc 0.1530 test loss 2.128843 best test_acc 0.3470
e 8 | malicious users: 5 | test acc 0.3221 test loss 2.045994 best test_acc 0.3470
e 9 | malicious users: 2 | test acc 0.1105 test loss 2.016440 best test_acc 0.3470
e 10 | malicious users: 4 | test acc 0.3840 test loss 1.903313 best test_acc 0.3840
e 11 | malicious users: 5 | test acc 0.2697 test loss 1.894159 best test_acc 0.3840
e 12 | malicious users: 6 | test acc 0.5663 test loss 1.905957 best test_acc 0.5663
e 13 | malicious users: 2 | test acc 0.5497 test loss 1.881643 best test_acc 0.5663
