2024-06-14 15:56:38,405 INFO    StreamThr :910284 [internal.py:wandb_internal():86] W&B internal server running at pid: 910284, started at: 2024-06-14 15:56:38.404154
2024-06-14 15:56:38,408 DEBUG   HandlerThread:910284 [handler.py:handle_request():146] handle_request: status
2024-06-14 15:56:38,427 INFO    WriterThread:910284 [datastore.py:open_for_write():87] open: /home/test/FRL/wandb/run-20240614_155638-88ao9k08/run-88ao9k08.wandb
2024-06-14 15:56:38,428 DEBUG   SenderThread:910284 [sender.py:send():379] send: header
2024-06-14 15:56:38,436 DEBUG   SenderThread:910284 [sender.py:send():379] send: run
2024-06-14 15:56:38,959 INFO    SenderThread:910284 [dir_watcher.py:__init__():211] watching files in: /home/test/FRL/wandb/run-20240614_155638-88ao9k08/files
2024-06-14 15:56:38,960 INFO    SenderThread:910284 [sender.py:_start_run_threads():1124] run started: 88ao9k08 with start time 1718344598.403868
2024-06-14 15:56:38,978 DEBUG   HandlerThread:910284 [handler.py:handle_request():146] handle_request: check_version
2024-06-14 15:56:38,978 DEBUG   SenderThread:910284 [sender.py:send_request():406] send_request: check_version
2024-06-14 15:56:39,059 DEBUG   HandlerThread:910284 [handler.py:handle_request():146] handle_request: run_start
2024-06-14 15:56:39,068 DEBUG   HandlerThread:910284 [system_info.py:__init__():26] System info init
2024-06-14 15:56:39,068 DEBUG   HandlerThread:910284 [system_info.py:__init__():41] System info init done
2024-06-14 15:56:39,068 INFO    HandlerThread:910284 [system_monitor.py:start():194] Starting system monitor
2024-06-14 15:56:39,069 INFO    SystemMonitor:910284 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-14 15:56:39,069 INFO    HandlerThread:910284 [system_monitor.py:probe():214] Collecting system info
2024-06-14 15:56:39,070 INFO    SystemMonitor:910284 [interfaces.py:start():190] Started cpu monitoring
2024-06-14 15:56:39,073 INFO    SystemMonitor:910284 [interfaces.py:start():190] Started disk monitoring
2024-06-14 15:56:39,076 INFO    SystemMonitor:910284 [interfaces.py:start():190] Started gpu monitoring
2024-06-14 15:56:39,078 INFO    SystemMonitor:910284 [interfaces.py:start():190] Started memory monitoring
2024-06-14 15:56:39,080 INFO    SystemMonitor:910284 [interfaces.py:start():190] Started network monitoring
2024-06-14 15:56:39,089 DEBUG   HandlerThread:910284 [system_info.py:probe():150] Probing system
2024-06-14 15:56:39,091 DEBUG   HandlerThread:910284 [system_info.py:_probe_git():135] Probing git
2024-06-14 15:56:39,098 DEBUG   HandlerThread:910284 [system_info.py:_probe_git():143] Probing git done
2024-06-14 15:56:39,098 DEBUG   HandlerThread:910284 [system_info.py:probe():198] Probing system done
