2024-05-28 15:43:03,854 INFO    StreamThr :434892 [internal.py:wandb_internal():86] W&B internal server running at pid: 434892, started at: 2024-05-28 15:43:03.853279
2024-05-28 15:43:03,863 DEBUG   HandlerThread:434892 [handler.py:handle_request():146] handle_request: status
2024-05-28 15:43:03,873 INFO    WriterThread:434892 [datastore.py:open_for_write():87] open: /home/test/FRL/wandb/run-20240528_154303-7dfk5c2p/run-7dfk5c2p.wandb
2024-05-28 15:43:03,874 DEBUG   SenderThread:434892 [sender.py:send():379] send: header
2024-05-28 15:43:03,880 DEBUG   SenderThread:434892 [sender.py:send():379] send: run
2024-05-28 15:43:04,464 INFO    SenderThread:434892 [dir_watcher.py:__init__():211] watching files in: /home/test/FRL/wandb/run-20240528_154303-7dfk5c2p/files
2024-05-28 15:43:04,465 INFO    SenderThread:434892 [sender.py:_start_run_threads():1124] run started: 7dfk5c2p with start time 1716874983.853169
2024-05-28 15:43:04,503 DEBUG   HandlerThread:434892 [handler.py:handle_request():146] handle_request: check_version
2024-05-28 15:43:04,503 DEBUG   SenderThread:434892 [sender.py:send_request():406] send_request: check_version
2024-05-28 15:43:04,582 DEBUG   HandlerThread:434892 [handler.py:handle_request():146] handle_request: run_start
2024-05-28 15:43:04,591 DEBUG   HandlerThread:434892 [system_info.py:__init__():26] System info init
2024-05-28 15:43:04,591 DEBUG   HandlerThread:434892 [system_info.py:__init__():41] System info init done
2024-05-28 15:43:04,591 INFO    HandlerThread:434892 [system_monitor.py:start():194] Starting system monitor
2024-05-28 15:43:04,592 INFO    HandlerThread:434892 [system_monitor.py:probe():214] Collecting system info
2024-05-28 15:43:04,593 INFO    SystemMonitor:434892 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-28 15:43:04,595 INFO    SystemMonitor:434892 [interfaces.py:start():190] Started cpu monitoring
2024-05-28 15:43:04,596 INFO    SystemMonitor:434892 [interfaces.py:start():190] Started disk monitoring
2024-05-28 15:43:04,598 INFO    SystemMonitor:434892 [interfaces.py:start():190] Started gpu monitoring
2024-05-28 15:43:04,601 INFO    SystemMonitor:434892 [interfaces.py:start():190] Started memory monitoring
2024-05-28 15:43:04,605 INFO    SystemMonitor:434892 [interfaces.py:start():190] Started network monitoring
2024-05-28 15:43:04,613 DEBUG   HandlerThread:434892 [system_info.py:probe():150] Probing system
2024-05-28 15:43:04,616 DEBUG   HandlerThread:434892 [system_info.py:_probe_git():135] Probing git
2024-05-28 15:43:04,624 DEBUG   HandlerThread:434892 [system_info.py:_probe_git():143] Probing git done
2024-05-28 15:43:04,624 DEBUG   HandlerThread:434892 [system_info.py:probe():198] Probing system done
