2024-05-27 14:08:01,124 INFO    StreamThr :13010 [internal.py:wandb_internal():86] W&B internal server running at pid: 13010, started at: 2024-05-27 14:08:01.122809
2024-05-27 14:08:01,132 DEBUG   HandlerThread:13010 [handler.py:handle_request():146] handle_request: status
2024-05-27 14:08:01,138 INFO    WriterThread:13010 [datastore.py:open_for_write():87] open: /home/test/FRL/wandb/run-20240527_140801-000u0to8/run-000u0to8.wandb
2024-05-27 14:08:01,142 DEBUG   SenderThread:13010 [sender.py:send():379] send: header
2024-05-27 14:08:01,143 DEBUG   SenderThread:13010 [sender.py:send():379] send: run
2024-05-27 14:08:01,698 INFO    SenderThread:13010 [dir_watcher.py:__init__():211] watching files in: /home/test/FRL/wandb/run-20240527_140801-000u0to8/files
2024-05-27 14:08:01,698 INFO    SenderThread:13010 [sender.py:_start_run_threads():1124] run started: 000u0to8 with start time 1716782881.119565
2024-05-27 14:08:01,713 DEBUG   HandlerThread:13010 [handler.py:handle_request():146] handle_request: check_version
2024-05-27 14:08:01,714 DEBUG   SenderThread:13010 [sender.py:send_request():406] send_request: check_version
2024-05-27 14:08:01,811 DEBUG   HandlerThread:13010 [handler.py:handle_request():146] handle_request: run_start
2024-05-27 14:08:01,823 DEBUG   HandlerThread:13010 [system_info.py:__init__():26] System info init
2024-05-27 14:08:01,824 DEBUG   HandlerThread:13010 [system_info.py:__init__():41] System info init done
2024-05-27 14:08:01,824 INFO    HandlerThread:13010 [system_monitor.py:start():194] Starting system monitor
2024-05-27 14:08:01,824 INFO    HandlerThread:13010 [system_monitor.py:probe():214] Collecting system info
2024-05-27 14:08:01,825 INFO    SystemMonitor:13010 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-27 14:08:01,826 INFO    SystemMonitor:13010 [interfaces.py:start():190] Started cpu monitoring
2024-05-27 14:08:01,829 INFO    SystemMonitor:13010 [interfaces.py:start():190] Started disk monitoring
2024-05-27 14:08:01,831 INFO    SystemMonitor:13010 [interfaces.py:start():190] Started gpu monitoring
